a2ps	4.14	Any-to-PostScriptフィルター
qrencode	3.4.4	QRコードの生成
qscintilla2	2.8.4	Scintilla編集コンポーネントのQtへの移植
qstat	2.11	コマンドラインからQuakeサーバーをクエリする
qt	4.8.7	クロスプラットフォームアプリケーションとUIフレームワーク
qt5	5.5.0	Qtフレームワークのバージョン5
qtfaststart	11.2	Quicktimeファイル用のユーティリティ
qtplay	1.3.1	オーディオCD、MP3、およびその他の音楽ファイルを再生する
quantlib	1.6.1	数理ファイナンスのための図書館
quassel	0.11.0	分散IRCクライアント（Qtベース）
quazip	0.7.1	GillesVollantのZIP/UNZIPパッケージのC++ラッパー
queequeg	0.91	非ネイティブスピーカーのための英語の文法チェッカー
quex	0.65.4	字句アナライザーを生成する
quilt	0.64	一連のパッチを操作する
quotatool	1.6.2	コマンドラインからディスククォータを編集する
quvi	0.4.2	ビデオのダウンロードURLを解析する
qwt	6.1.2	テクニカルアプリケーション用のQtウィジェット（v5.1）
qwtpolar	1.1.0	極座標系で値を表示するためのライブラリ
qxmpp	v0.8.0	クロスプラットフォームのC++ XMPPクライアントおよびサーバーライブラリ
r3	1.3.3	高性能URLルーターライブラリ
rabbitmq	3.5.4	メッセージングブローカー
rabbitmq-c	v0.7.0	RabbitMQCクライアント
racket	6.2.1	Lisp/Schemeファミリーの最新のプログラミング言語
radamsa	0.3	堅牢性テスト用のテストケースジェネレーター（別名ファザー）
radare2	0.9.9	リバースエンジニアリングフレームワーク
ragel	6.9	ステートマシンコンパイラ
rainbarf	v1.2	tmux（およびGNU画面）のCPU/RAM /バッテリー統計チャートバー
rakudo-star	2015.07	Perl6コンパイラ
rancher-compose	v0.4.0	Dockerは、Rancherにデプロイする互換性のあるクライアントを構成します
rancid	3.2	本当に素晴らしい新しいCisco設定の違い
randomize-lines	0.2.7	ファイル（またはSTDIN）から行を読み取ってランダム化します
ranger	1.7.1	ファイルブラウザ
rapidjson	v1.0.2	SAXおよびDOMスタイルのAPIを使用したC++用のJSONパーサー/ジェネレーター
raptor	2-2.0.15	RDFパーサーツールキット
rarian	0.8.1	ドキュメントメタデータライブラリ
rasqal	0.9.33	RDFクエリライブラリ
rats	2.4	セキュリティのための大まかな監査ツール
rbenv	v0.4.0	Ruby環境ツール
rbenv-aliases	v1.0.1	Rubyバージョンのエイリアスを作成する
rbenv-binstubs	v1.4	rbenvにbundlerbinstubsを認識させる
rbenv-bundle-exec	v1.0.0	rbenvとbundlerを統合する
rbenv-bundler	0.99	シムにバンドルインストールパスを認識させます
rbenv-bundler-ruby-version	v0.2	バンドラーのGemfileからルビーバージョンを選択します
rbenv-communal-gems	v1.0.1	複数のrbenvRubyインストール間でgemを共有する
rbenv-ctags	v1.0.1	rbenv Rubystdlibsのctagsを自動的に生成します
rbenv-default-gems	v1.0.0	Rubyインストール用のgemを自動インストールします
rbenv-gem-rehash	v1.0.0	`rbenvrehash`を自動的に実行します
rbenv-gemset	v0.5.8	基本的なgemsetサポートをrbenvに追加します
rbenv-readline	v1.0.0	Rubyインストールをreadlineに自動的にリンクする
rbenv-use	v1.0.0	パッチレベルを参照せずにルビーを切り替える
rbenv-vars	v1.2.0	グローバルおよびプロジェクトごとの環境変数を安全に設定します
rbenv-whatis	v1.0.0	略語とエイリアスをRubyバージョンに解決します
rc	1.7.2	AT＆T Plan9シェルの実装
rcs	5.9.4	GNUリビジョン管理システム
rcssserver	15.2.2	RoboCupサッカーシミュレーター用サーバー
rdate	1.5	リモートホストからシステムの日付を設定する
rdfind	1.3.4	コンテンツに基づいて重複ファイルを検索します（ファイル名ではありません）
rdiff-backup	1.2.8	あるディレクトリを別のディレクトリにバックアップします-ネットワーク上でも機能します
rds-command-line-tools	1.19.004	AmazonRDSコマンドラインツールキット
rdup	1.1.14	バックアップの作成に適したファイルリストを作成するためのユーティリティ
re2	2015-08-01	PCREスタイルの正規表現エンジンをバックトラックする代わりの方法
re2c	2	：正規表現からCベースのレコグナイザーを生成します
readline	7.0	コマンドライン編集用のライブラリ
readosm	1.0.0	Open StreetMap入力ファイルから有効なデータを抽出します
reattach-to-user-namespace	v2.4	プロセス（tmuxなど）をバックグラウンドに再接続します
reaver	1.4	WPA/WPA2パスキーを回復するためのブルートフォース攻撃を実装します
rebar	2.6.0	Erlangビルドツール
reclass	1.4.1	再帰的な外部ノード分類
recode	v3.7	文字セット（文字セット）を変換する
recoverjpeg	2.3	ファイルシステムイメージからJPEGイメージを回復するためのツール
recutils	1.7	人間が編集可能なプレーンテキストデータファイルを操作するためのツール
redir	2.2.1-9	ポートリダイレクタ
redis	3.0.4	組み込みのネットインターフェイスを備えた永続的なKey-Valueデータベース
redis-leveldb	v1.4	leveldbへのRedisプロトコル互換フロントエンド
redland	1.0.17	RDFライブラリ
redo	0.11	djbのREDOを実装します：make（1）の代替
redpen	1.3.0	技術文書の作成者を支援する校正ツール
redshift	1.10	周囲の状況に応じて画面の色温度を調整します
redsocks	0.4	透明な靴下リダイレクタ
redstore	0.5.4	Redlandを搭載した軽量RDFトリプルストア
regex-opt	1.2.3	Perl互換の正規表現オプティマイザ
regina-rexx	3.9.1	レジーナREXX通訳
regldg	1.0.0	正規表現文法言語辞書ジェネレータ
rem	20150618	OSXLeminders.appデータベースにアクセスするためのコマンドラインツール
remake	4.1	改善されたエラー処理、トレース、およびデバッガーを備えたGNU Make
remarshal	v0.3.0	TOML、YAML、JSON間の変換
remctl	3.9	タスクをリモートで実行するためのクライアント/サーバーアプリケーション
remind	03.01.15	洗練されたカレンダーとアラーム
ren	1.0	ディレクトリ内の複数のファイルの名前を変更します
rename	v1.600	多くの便利なビルトインを備えたPerlベースのファイル名前変更スクリプト
renameutils	0.12.0	ファイルの名前を変更するためのツール
reop	2.1.0	暗号化されたキーペア管理
repl	v1.0.0	非対話型プログラムをREPLでラップする
repo	1.12	Android開発用のリポジトリツール
reposurgeon	3.29	バージョン管理リポジトリ履歴の編集
rest-shell	1.2.1	SpringHATEOAS準拠のRESTリソースと連携するシェル
restund	0.4.11	モジュラーSTUN/TURNサーバー
resty	2.2	パイプラインで使用できるコマンドラインRESTクライアント
rethinkdb	2.1.4	リアルタイムWeb用のオープンソースデータベース
rexster	2.6.0	RESTを介してブループリントグラフを公開するグラフサーバー
rexster-console	2.6.0	RESTを介してブループリントグラフを公開するグラフサーバー
rfcdiff	1.42	RFCインターネットドラフトバージョンを比較する
rfcmarkup	1.108	HTMLマークアップとインターネットドラフトおよびRFCへのリンクを追加する
rfcstrip	1.03	RFCとインターネットドラフトからヘッダーとフッターを削除します
rgbds	0.2.3	RednexGameBoy開発システム
rgxg	0.1	（拡張された）正規表現を生成するためのCライブラリとコマンドラインツール
rhash	1.3.3	ファイルのハッシュ合計を計算および検証するためのユーティリティ
rhino	1.7.6	JavaScriptエンジン
riak	2.1.1	分散データベース
riemann	0.2.10	イベントストリームプロセッサ
riemann-client	1.3.0	Riemann監視システム用のCクライアントライブラリ
rig	1.11	偽の名前と住所のデータを提供します
rinetd	0.62	インターネットTCPリダイレクトサーバー
ringojs	0.11	CommonJSベースのJavaScriptランタイム
ripmime	1.4.0.10	MIMEエンコードされた電子メールパッケージから添付ファイルを抽出します
rkflashtool	5.1	Rockchipデバイスをフラッシュするためのツール
rkhunter	1.4.2	ルートキットハンター
rlog	1.4	C++用の柔軟なメッセージロギング機能
rlwrap	0.42	リードラインラッパー：リードラインサポートを欠いているツールに追加します
rmate	v1.5.7	TextMateでSSHセッションからファイルを編集する
rmcast	2.0.0	IPマルチキャストライブラリ
rmtrash	0.3.3	ファイルをOSXのゴミ箱に移動する
rnv	1.7.11	Relax NGCompact構文バリデーターの実装
robodoc	4.99.43	ソースコードドキュメントツール
rock	v0.9.10	oocで書かれたoocコンパイラ
rocksdb	3.13	高速ストレージ環境向けの永続的なKey-Valueストア
rolldice	v1.14	ある量の仮想サイコロを振る
roundup	v0.0.5	問題追跡システム
rp	1.0	PE/Elf/Mach-O x86/x64バイナリでROPシーケンスを検索するためのツール
rpg	0.3.0	UNIX用のRubyパッケージ管理
rpl	1.4.1	テキスト置換ユーティリティ
rpm	5.4.15	RPMパッケージマネージャー
rpm2cpio	1.3	RPMパッケージをCPIOアーカイブに変換するツール
rrdtool	1.5.4	ラウンドロビンデータベース
rsense	0.3	EmacsとVim用のRuby開発ツール
rsnapshot	1.4.1	ファイルシステムスナップショットユーティリティ（rsyncに基づく）
rssh	2.3.4	OpenSSHで使用するための制限付きシェル
rsstail	2.0	RSSフィードを監視し、検出されると新しいエントリを送信します
rsyslog	7.4.5	強化されたマルチスレッドsyslogd
rt-audio	4.1.1	リアルタイムオーディオ入力/出力用のAPI
rtags	v2.0	clangsフロントエンドを備えたctagsのようなソースコード相互参照
rtf2latex2e	2.2.2	RTFからLaTeXへの変換
rtmidi	2.1.0	リアルタイムMIDI入出力用の共通APIを提供するC++クラス
rtmpdump	2.4+20150115	RTMPストリーミングメディアをダウンロードするためのツール
rtorrent	0.9.6	コンソールベースのBitTorrentクライアント
rtpbreak	1.3	RTPセッションを検出、再構築、分析します
rubber	1.2	LaTeXドキュメントの自動構築
ruby	2.4.1	強力でクリーンなオブジェクト指向のスクリプト言語
ruby-build	v20150928	さまざまなRubyバージョンと実装をインストールします
ruby-install	v0.5.0	Ruby、JRuby、Rubinius、またはMagLevをインストールします
runcocoa	20120108	コマンドラインからCocoa/Objective-CおよびCコードを実行するためのツール
runit	2.1.1	UNIXサービスを管理するためのツールのコレクション
rush	1.7	GNUの制限付きユーザーシェル
rust	1.3.0	安全で並行した実用的な言語
ry	v0.5.2	Ruby仮想環境ツール
rzip	2.1	ファイル圧縮ツール（gzipやbzip2など）
s-lang	2.3.0	マルチプラットフォームソフトウェアを作成するためのライブラリ
s3cmd	1.5.2	AmazonS3サービスのコマンドラインツール
s3sync	1.2.6	AmazonS3へのインターフェース
safe-rm	0.12	ファイルの危険な削除を防ぐためにrmをラップします
saltstack	2015.8.0	動的インフラストラクチャ通信バス
sam2p	0.49.2	ラスター画像をEPS、PDF、およびその他の形式に変換する
samba	3.6.25	UNIX用のSMB/CIFSファイル、印刷、およびログインサーバー
sane-backends	1.0.24	スキャナーアクセス用のバックエンド
sary	1.2.0	接尾辞配列ライブラリ
sassc	3.2.4	コマンドラインアプリの作成に役立つlibsassのラッパー
savana	1.2	SVNのトランザクションワークスペース
saxon	9.6.0.7	XSLTおよびXQueryプロセッサ
saxon-b	9.1.0.8	XSLTおよびXQueryプロセッサ
sbcl	1.2.15	Steel Bank CommonLispシステム
sblim-sfcc	2.2.8	GNU/Linuxシステムの管理性を強化するプロジェクト
sbt	0.13.9	Scalaプロジェクト用のビルドツール
sbtenv	0.0.9	sbt環境を管理するためのコマンドラインツール
sbuild	0.7.7	Scalaベースのビルドシステム
sc68	2.2.1	AtariSTおよびAmigaコンピューター用に設計された音楽を再生する
scala	2.11.7	Scalaプログラミング言語
scalaenv	0.0.8	Scala環境を管理するためのコマンドラインツール
scalariform	0.1.6	Scalaソースコードフォーマッター
scalastyle	0.7.0	コマンドラインからscalastyleを実行する
scale2x	2.4	リアルタイムグラフィック効果
scamper	20141211a	高度なtracerouteおよびネットワーク測定ユーティリティ
scheme48	1.9.2	スキームバイトコードインタプリタ
schroedinger	1.0.11	Diracコーデックの高速実装
scm-manager	1.46	HTTPを介してGit、Mercurial、Subversionリポジトリを管理する
scmpuff	v0.1.1	一般的なgitコマンドに番号付きのショートカットを追加します
scons	2.3.6	autoconf/automake機能を備えた従来の「make」ツールの代わりに使用する
screenbrightness	1.2	コマンドラインからOSXディスプレイの明るさを変更する
screenfetch	v3.7.0	端末、シェル、およびOS情報を使用してASCIIアートを生成する
screenresolution	v1.6	表示解像度の取得、設定、および一覧表示
scriptcs	v0.15.0	C＃を記述して実行するためのツール
scrollkeeper	0.3.14	スクロールキーパーの移行パッケージ
scrub	2.6.1	データ回復を阻止するために磁気メディアにパターンを書き込みます
scrypt	1.2.0	メモリハードパスワード機能を使用してファイルを暗号化および復号化します
scsh	0.6.7	スキームシェル
scw	v1.5.0	コマンドラインからベアメタルサーバーを管理する（Dockerを使用するのと同じくらい簡単に）
sdcc	3.5.0	Intel 8051、Maxim 80DS390、およびZilogZ80用のANSICコンパイラ
sdcv	0.5-2013-09-10	StarDictコンソールバージョン
sdf	2.6.3	構文定義形式：文法の高レベルの説明
sdhash	3.1	データのバイナリブロブを相関させるためのツール
sdl	1.2.15	オーディオ、キーボード、マウス、ジョイスティック、グラフィックスへの低レベルのアクセス
sdl2	2.0.3	オーディオ、キーボード、マウス、ジョイスティック、およびグラフィックスへの低レベルのアクセス
sdl2_gfx	1.0.0	SDL2グラフィックス描画プリミティブおよびその他のサポート機能
sdl2_image	2.0.0	画像をSDLサーフェスおよびテクスチャとしてロードするためのライブラリ
sdl2_mixer	2.0.0	サンプルマルチチャンネルオーディオミキサーライブラリ
sdl2_net	2.0.0	小さなサンプルのクロスプラットフォームネットワークライブラリ
sdl2_ttf	2.0.12	SDLアプリケーションでTrueTypeフォントを使用するためのライブラリ
sdl_gfx	2.0.24	グラフィックス描画プリミティブおよびその他のサポート関数
sdl_image	1.2.12	画像ファイル読み込みライブラリ
sdl_mixer	1.2.12	サンプルマルチチャンネルオーディオミキサーライブラリ
sdl_net	1.2.8	サンプルのクロスプラットフォームネットワークライブラリ
sdl_rtf	0.1.0	リッチテキスト形式（RTF）ドキュメントを表示するためのサンプルライブラリ
sdl_sound	1.0.3	いくつかの一般的なサウンドファイル形式をデコードするライブラリ
sdl_ttf	2.0.11	SDLアプリケーションでTrueTypeフォントを使用するためのライブラリ
sec	2.7.6	さまざまな種類のイベント処理のためのイベント相関ツール
sedna	3.5.161	XMLデータベース
seexpr	1.0.1	埋め込み式表現評価エンジン
selecta	v0.0.6	ファイルやその他の選択が必要なもののファジーテキストセレクター
selenium-server-standalone	2.47.1	テスト目的のブラウザ自動化
sendemail	v1.56	SMTPメールを送信するための電子メールプログラム
ser2net	2.9.1	シリアルポートへのネットワーク接続を許可する
serd	0.20.0	RDF構文用のCライブラリ
serialosc	1.2	モノームデバイス用のOpensoundコントロールサーバー
sersniff	0.0.5	2つのシリアルポート間をトンネリング/スニッフィングするプログラム
serveit	v0.0.1	静的コンテンツの同期サーバーと再構築者
setweblocthumb	v1.0.0	カスタムアイコンをweblocファイルに割り当てます
sf-pwgen	1.3	SecurityFoundationフレームワークを使用してパスワードを生成する
sfcgal	v1.0.5	CGAL周辺のC++ラッパーライブラリ
sfk	1.7.5	コマンドラインツールコレクション
sflowtool	3.35	sFlowデータを分析するためのユーティリティとスクリプト
sfml	2.3	複数の言語のバインディングを備えたマルチメディアライブラリ
sgrep	1.94a	SGML、XML、およびHTMLを検索する
sha2	1.0.1	SHA-256、SHA-384、およびSHA-512ハッシュアルゴリズムの実装
shadowsocks-libev	v2.4.0	shadowsocksのLibevポート
shakespeare	1.2.1	シェイクスピア英語でプログラムを書く
shapelib	1.3.0	ArcViewシェープファイルを読み書きするためのライブラリ
shared-mime-info	1.5	一般的なMIMEタイプのデータベース
shell_cmds	170	
shellcheck	v0.4.1	（ba）shスクリプト用の静的分析およびlintツール
shellinabox	2.14	コマンドラインツールをWebベースのターミナルエミュレータにエクスポートする
shiboken	1.2.2	CPython拡張機能のC++コードを出力するGeneratorRunnerプラグイン
shivavg	0.2.1	OpenVG標準のOpenGLベースのANSIC実装
shmcat	1.7	共有メモリセグメントをダンプするツール（System VおよびPOSIX）
shmux	1.0.2	多くのホストで同じコマンドを並行して実行します
shntool	3.0.10	WAVファイルを操作および分析するための多目的ツール
shocco	1.0	シェルスクリプト用のリテラシードキュメンテーションツール（a la Docco）
shorten	3.6.1	波形圧縮
shpotify	1.0.0	MacでのSpotifyのコマンドラインインターフェイス
shrewsoft-vpn-client	2.2.1	Linux/BSDバージョンのShrewSoftVPNクライアント
shtool	2.0.8	GNUのポータブルシェルツール
shunit2	2.1.6	Bourneベースのシェルスクリプト用のxUnitユニットテストフレームワーク
sic	1.2	最小限の多重化IRCクライアント
sickbeard	507	テレビ番組を検索および管理するためのPVRアプリケーション
siege	3.1.0	HTTP回帰テストおよびベンチマークユーティリティ
signify-osx	1.2	暗号で署名し、ファイルを検証する
signing-party	2.1	さまざまなOpenPGP関連ツール
silc-client	1.1.11	SILC会議クライアント
sile	0.9.2	TeXに触発された最新の植字システム
silk	3.10.2	トラフィック分析ツールのコレクション
simgrid	3.11.1	大規模分散システムの振る舞いを研究する
simh	3.9-0	ポータブルなマルチシステムシミュレーター
simple-amqp-client	v2.4.0	rabbitmq-cへのC++インターフェース
simple-tiles	v0.6.0	空間データ用の画像生成ライブラリ
since	1.1	ステートフルテール：最後のチェック以降のファイルへの変更を表示
sip	4.16.9	CおよびC++ライブラリ用のPythonバインディングを作成するためのツール
sipcalc	1.1.6	高度なコンソールベースのIPサブネット計算機
sipp	v3.4.1	SIPプロトコルのトラフィックジェネレータ
sipsak	0.9.6	SIPスイスアーミーナイフ
sisc-scheme	1.16.6	広範なJavaベースのSchemeインタープリター
sispmctl	3.1	GembirdSIS-PMプログラマブル電源コンセントストリップを制御する
sjk	0.3.6	スイスジャワナイフ
skinny	1.3.20	Scalatra上に構築されたフルスタックWebアプリフレームワーク
skipfish	2.10	Webアプリケーションセキュリティスキャナー
skktools	1.3.3	SKK辞書メンテナンスツール
skytools	3.2	SkypeからPostgreSQLまでのデータベース管理ツール
sl	5.02	lsの代わりにslと入力すると、蒸気機関車が印刷されます
sleepwatcher	2.2	Macのスリープ、ウェイクアップ、アイドル状態を監視します
sleuthkit	4.1.3	フォレンジックツールキット
slimerjs	0.9.6	Web開発者向けのスクリプト可能なブラウザ
sloccount	2.26	多くの言語でコードの行を数える
slony	1-2.2.4	PostgreSQL用のマスターから複数のスレーブへのレプリケーションシステム
slowhttptest	1.6	アプリケーション層のサービス拒否攻撃をシミュレートします
slrn	1.0.2	強力なコンソールベースのニュースリーダー
slurm	0.4.2	さらに別のネットワーク負荷モニター
smake	1.2.5	自動作成機能を備えたポータブル作成プログラム
smali	2.0.6	AndroidのJavaVM実装用のアセンブラー/逆アセンブラー
smartmontools	6.5	SMARTハードドライブの監視
smartypants	1.5.1	タイポグラフィプリティファイア
smlnj	110.78	ニュージャージーの標準ML
smpeg	0_4_5	SDLMPEGプレーヤーライブラリ
smpeg2	2_0_0	SDLMPEGプレーヤーライブラリ
snag	v1.0.0	すべてのニーズに対応する自動ビルドツール
snap7	1.4.0	Siemens S7PLCとネイティブに連携するイーサネット通信スイート
snappy	1.1.3	高速を目指す圧縮/解凍ライブラリ
snappystream	0.2.1	C++のsnappyストリームの実現（snappyと互換性があります）
snapraid	8.1	ディスクアレイのバックアッププログラム
sngrep	v0.2.2	SIPコールメッセージフローを表示するためのコマンドラインツール
snobol4	1.5	SNOBOL4プログラミング言語
snort	2.9.7.3	柔軟なネットワーク侵入検知システム
snow	20130616	ホワイトスペースステガノグラフィ：ホワイトスペースを使用してコード化されたメッセージ
snownews	1.5.12	テキストモードRSSニュースリーダー
sntop	1.4.3	ホストをポーリングして接続を判別するCursesベースのユーティリティ
snzip	1.0.2	スナッピーに基づく圧縮/解凍ツール
socat	1.7.3.0	ステロイドのnetcat
soccerwindow2	5.1.0	RoboCupサッカーシミュレーター用のツール
soci	3.2.2	C++用のデータベースアクセスライブラリ
sofia-sip	1.12.11	SIPユーザーエージェントライブラリ
softhsm	2.0.0	PKCS＃11インターフェースを介してアクセス可能な暗号ストア
solid	3.5.6	3D空間の幾何学的オブジェクトの衝突検出ライブラリ
solr	5.3.0	ApacheLuceneプロジェクトのエンタープライズ検索プラットフォーム
somagic	1.1	EasyCAPのSomagicバリアント用のLinuxキャプチャプログラム
somagic-tools	1.1	EasyCAPからファームウェアを抽出するためのツール
sonar	5.1.2	コード品質を管理する
sonar-runner	2.4	SonarQubeでプロジェクトを分析するランチャー
sord	0.12.2	RDFデータをメモリに格納するためのCライブラリ
sound-touch	1.9.1	オーディオ処理ライブラリ
source-highlight	3.1.8	ソースコード構文ハイライト
sourcekitten	0.5.0	SourceKitと対話するためのフレームワークおよびコマンドラインツール
sox	14.4.2	SOund eXchange：ユニバーサルサウンドサンプルトランスレータ
spark	v1.0.1	シェルのスパークライン
sparkey	0.2.0	頻繁な読み取り/まれな書き込みの使用に最適な一定のKey-Valueストア
sparse	0.5.0	静的Cコード分析ツール
spatialindex	1.8.5	空間インデックスを開発するための一般的なフレームワーク
spatialite-gui	1.7.1	SpatiaLiteをサポートするGUIツール
spatialite-tools	4.3.0	SpatiaLiteをサポートするCLIツール
spawn-fcgi	1.6.4	Fast-CGIプロセスを生成します
spdylay	v1.3.2	SPDYプロトコルバージョン2、3、および3.1の実験的実装
speech-tools	2.4	エディンバラ大学のC++一般音声ソフトウェアライブラリ
speedtest_cli	v0.3.2	http://speedtest.net帯域幅テスト用のコマンドラインインターフェイス
speex	1.2	音声用に設計されたオーディオコーデック
sphinx	2.2.9	Sphinxは全文検索エンジンです
spidermonkey	1.8.5	JavaScript-Cエンジン
spim	9.1.13	MIPS32シミュレーター
spin	6.4.2	スピンモデルチェッカー
spiped	1.5.0	セキュアパイプデーモン
splint	3.1.2	安全なプログラミングリント
spoof-mac	2.0.5	OSXでMACアドレスをスプーフィングする
spring-loaded	1.2.3	実行中のJVMでクラスのリロードを有効にするJavaエージェント
spring-roo	1.3.1	Java開発者向けの迅速なアプリケーション開発ツール
sproxy	1.02	「包囲に適した」方法でURLを収集するHTTPプロキシサーバー
sqlcipher	v3.3.0	256ビットのAES暗号化を提供するSQLite拡張機能
sqlite	3.15.0	SQLiteのコマンドラインインターフェイス
sqlite-analyzer	3.8.8.3	SQLiteファイル内でスペースがどのように割り当てられているかを分析します
sqlitebrowser	v3.7.0	SQLiteデータベースを作成、設計、編集するためのビジュアルツール
sqliteman	1.2.2	Sqlite3用のGUIツール
sqlmap	0.9	SQLインジェクションおよびデータベースサーバーの侵入テスト
sqoop	1.4.6	Hadoopと構造化データストア間でバルクデータを転送する
sqsh	2.5.16.1	Sybaseシェル
sqtop	v2015-02-08	Squidプロキシのアクティブな接続に関する情報を表示します
squashfs	4.3	Linux用の圧縮された読み取り専用ファイルシステム
squid	3.5.7	HTTP、HTTPS、FTP、およびGopher用の高度なプロキシキャッシングサーバー
squirrel	3.0.7	高レベルの命令型オブジェクト指向プログラミング言語
sratom	0.4.6	LV2アトムをRDFとの間でシリアル化するためのライブラリ
src	0.19	シンプルなリビジョン管理：最新のUIでリロードされたRCS
srclib	v0.0.42	ポリグロットコード分析ライブラリ、ハッキング可能性のために構築
srecord	1.64	EPROMロードファイルを操作するためのツール
srmio	0.1.1	SRMバイクパワーメーターのPowerControlにアクセスするためのCライブラリ
srtp	v1.5.2	Secure Real-time Transport Protocol（SRTP）の実装
ssdb	1.8.2	多くのデータ構造をサポートするNoSQLデータベース：Redisの代替
ssdeep	2.13	再帰的な区分的ハッシュツール
ssed	3.62	スーパーsedストリームエディター
ssh-copy-id	6.8p1	リモートマシンのauthorized_keysファイルに公開鍵を追加します
sshguard	1.6.1	SSHに対するブルートフォース攻撃から保護する
sshrc	0.5	SSHを使用するときは、.bashrc、.vimrcなどを持参してください
sshtrix	0.0.2	SSHログインクラッカー
sshuttle	0.71	貧乏人のVPNとして機能するプロキシサーバー
ssldump	0.9b3	SSLv3/TLSネットワークプロトコルアナライザ
sslh	v1.17	クライアントから送信された最初のデータパケットに基づいて接続を転送する
sslmate	1.5.0	コマンドラインからSSL証明書を購入する
sslyze	0.12.0	SSLスキャナー
ssreflect	1.5	libssreflect-coqによって提供される仮想パッケージ
ssss	0.5	シャミアの秘密共有スキームの実装
sstp-client	1.0.9	SSTP（PPP over SSL用のMicrosoftリモートアクセスソリューション）クライアント
st	v1.1.2	コマンドラインからの統計
stanford-parser	2015-04-20	統計的NLPパーサー
star	1.5.3	標準のタップアーカイバ
stash-cli	4.3.0	Atlassian製品のコマンドラインインターフェイスクライアント
stdman	v0.2	cppreference.comのフォーマットされたC++ 11/14stdlibのマニュアルページ
stgit	0.17.1	Git上に構築されたプッシュ/ポップユーティリティ
stk	4.5.0	サウンド合成ツールキット
stklos	1.10	R5RSで定義された機能に準拠したスキームシステム
stlink	1.1.0	stm32ディスカバリーラインLinuxプログラマー
stlviewer	0.1	stlファイルを表示する
stoken	0.90	RSA SecurID 128ビット（AES）と互換性のあるトークンコードジェネレーター
stone	2.3e	アプリケーション層のTCP/IPパケットリピーター
storm	0.9.5	データストリームを処理するための分散型リアルタイム計算システム
stormssh	0.6.5	ssh接続を管理するためのコマンドラインツール
stow	2.2.0	単一のディレクトリツリー（例：/ usr/local）の下でソフトウェアをきちんと整理する
streamripper	1.64.6	Shoutcastsタイトルストリーミングによる個別のトラック
stress	1.0.4	コンピュータシステムに負荷をかけ、ストレステストを行うためのツール
strongswan	5.3.3	IPsecに基づくVPN
stunnel	5.23	SSLトンネリングプログラム
stuntman	1.2.7	STUNプロトコルの実装
style-check	0.14	禁止されているフレーズを検索するためにラテックス形式のテキストを解析します
sub2srt	0.5.5	字幕を.subからsubviewer.srt形式に変換します
subliminal	1.0.1	字幕を検索してダウンロードするためのライブラリ
submarine	0.1.4	字幕を検索してダウンロードする
subnetcalc	2.4.2	IPv4/IPv6サブネット計算機
subversion	1.8.13	より良いCVSになるように設計されたバージョン管理システム
suomi-malaga-voikko	1.18	フィンランド語の言語ソフトウェアとデータ
supersonic	0.9.4	列指向のクエリエンジンを提供するC++ライブラリ
surfraw	2.2.9	Webに対するシェルユーザーの革命的な最前線の怒り
suricata	2.0.8	ネットワークIDS、IPS、およびセキュリティ監視エンジン
svdlibc	1.4	特異値分解を実行するCライブラリ
svg2pdf	0.1.3	SVG画像をPDFファイルにレンダリングします（Cairoを使用）
svg2png	0.1.3	SVGからPNGへのコンバーター
svtplay-dl	0.10.2015.08.24	http://svtplay.seからビデオをダウンロードする
swaks	20130209.0	SMTPコマンドラインテストツール
swatchbooker	0.7.3	さまざまなファイル形式から色見本を読み取ります
swfmill	0.3.3	xml2swfおよびswf2xmlプロセッサ
swftools	0.9.2	SWF操作および生成ツール
swiftgen	0.4.4	Swiftコードを生成するためのSwiftツールのコレクション
swiftlint	0.2.0	Swiftのスタイルと規則を適用するための実験的なツール
swig	3.0.7	C/C++コードへのスクリプトインターフェイスを生成します
swish-e	2.4.7	Webページのコレクションにインデックスを付けるためのシステム
switchaudio-osx	1.0.0	コマンドラインからOSXオーディオソースを変更する
sword	1.7.4	聖書ソフトウェアを書くためのクロスプラットフォームツール
syck	0.70	YAMLを読み書きするための拡張機能
sync_gateway	1.0.4	CouchbaseServerをCouchbaseLiteのレプリケーションエンドポイントにします
syncthing	v0.11.25	オープンソースの連続ファイル同期アプリケーション
syncthing-inotify	v0.6.5	Syncthingでの使用を目的としたファイルウォッチャー
synfig	1.0	コマンドラインレンダラー
synfigstudio	1.0	ベクターベースの2Dアニメーションパッケージ
synscan	5.02	非同期ハーフオープンTCPポートスキャナー
syntaxerl	0.8.0	Erlangコードと設定ファイルの構文チェッカー
sysbench	0.4.12	システムパフォーマンスベンチマークツール
sysdig	0.1.102	システムレベルの調査およびトラブルシューティングツール
szip	2.1	拡張ライスロスレス圧縮アルゴリズムの実装
szl	1.0	Sawzall言語のコンパイラとランタイム
t1lib	5.1.2	タイプ1フォントからビットマップを生成/ラスタライズするためのCライブラリ
t1utils	1.39	タイプ1フォントを処理するためのコマンドラインツール
ta-lib	0.4.0	市場分析のためのツール
tachyon	0.6.4	クラスタフレームワーク間でのデータ共有を可能にする分散ストレージシステム
tag	v0.8.1	Mavericksファイルのタグを操作してクエリする
taglib	v1.9.1	オーディオメタデータライブラリ
takt	0.309	テキストベースの音楽プログラミング言語
taktuk	3.7.5	（潜在的に大きなセットの）リモートノードにコマンドをデプロイする
